2.628257999999999983e-02 6.625791999999999682e+00 1.837663999999999964e+00
4.415427999999999714e-02 7.859030999999999878e+00 1.571806000000000036e+00
6.232185999999999976e-02 1.556900000000000084e+01 1.931097000000000063e+00
9.020585000000000409e-02 2.027111000000000018e+01 1.455381000000000036e+00
1.352297000000000082e-01 3.466785000000000139e+01 1.301061000000000023e+00
2.038964000000000054e-01 5.773290000000000077e+01 1.206966999999999901e+00
3.056348999999999871e-01 9.220574000000000581e+01 1.059765999999999986e+00
4.586450999999999723e-01 1.347658999999999878e+02 8.459961999999999760e-01
6.883943999999999619e-01 1.909421000000000106e+02 6.546756999999999715e-01
1.032767999999999908e+00 2.627115999999999758e+02 4.916873999999999967e-01
1.549323000000000006e+00 3.926207999999999743e+02 4.005831999999999726e-01
2.237315999999999860e+00 5.190049000000000206e+02 3.469045000000000045e-01
2.922752000000000017e+00 5.045717000000000212e+02 7.656943999999999972e-01
