2.628257999999999983e-02 4.585278999999999883e+00 1.271727999999999970e+00
4.415427999999999714e-02 7.731834000000000096e+00 1.546367000000000047e+00
6.232185999999999976e-02 9.079088000000000491e+00 1.126122000000000067e+00
9.020585000000000409e-02 7.507283000000000150e+00 5.389914999999999567e-01
1.352297000000000082e-01 6.122920999999999836e+00 2.297890999999999961e-01
2.038964000000000054e-01 4.583778999999999826e+00 9.582870999999999750e-02
3.056348999999999871e-01 3.796059000000000072e+00 4.362997999999999876e-02
4.586450999999999723e-01 4.192809999999999704e+00 2.632046000000000038e-02
6.883943999999999619e-01 5.274308999999999692e+00 1.808382000000000045e-02
1.032767999999999908e+00 7.067553000000000196e+00 1.322753999999999944e-02
1.549323000000000006e+00 1.070964999999999989e+01 1.092684000000000016e-02
2.237315999999999860e+00 1.593617000000000061e+01 1.065178999999999952e-02
2.922752000000000017e+00 1.868308999999999997e+01 2.835185000000000136e-02
